Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,FIBRA OPTICA,SATELITAL,WIMAX,WIRELESS,DIAL UP,OTROS,Total general,TELEFONIAFIJA,3G,4G,Latitud,Longitud
CHACO,12 de Octubre,Gancedo,4284.0,0.0,0.0,22.0,2.0,0.0,76.0,0.0,0.0,100.0,SI,--,SI,-27.4896487904756,-61.6738771708385
CHACO,12 de Octubre,General Pinedo,13042.0,221.0,0.0,460.0,2.0,0.0,0.0,0.0,0.0,683.0,SI,SI,SI,-27.3252979421708,-61.282210419911
CHACO,1º de Mayo,Colonia Benítez,2212.0,157.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,160.0,SI,SI,SI,-27.3305884379906,-58.9450102746869
CHACO,1º de Mayo,Margarita Belén,5701.0,411.0,0.0,190.0,0.0,0.0,77.0,0.0,0.0,678.0,SI,SI,SI,-27.2616473234151,-58.9741473116095
CHACO,2 de Abril,Hermoso Campo,5011.0,0.0,28.0,192.0,1.0,0.0,0.0,0.0,0.0,221.0,SI,SI,SI,-27.610539212014,-61.344844244037
CHACO,2 de Abril,Itín,441.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,478.0,508.0,--,--,--,-27.4876216159572,-61.3238818419592
CHACO,25 de Mayo,Colonia Aborigen,1272.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,--,--,SI,-26.9583436350996,-60.1902370459592
CHACO,25 de Mayo,Machagai,21997.0,427.0,311.0,33.0,0.0,0.0,282.0,0.0,0.0,1053.0,SI,SI,SI,-26.9287335504143,-60.0477196130638
CHACO,9 de Julio,Las Breñas,22953.0,1407.0,0.0,83.0,1.0,0.0,0.0,0.0,0.0,1491.0,SI,SI,SI,-27.0885167236059,-61.0836993088858
CHACO,Almirante Brown,Concepción del Bermejo,5309.0,0.0,0.0,370.0,2.0,0.0,230.0,0.0,0.0,602.0,SI,SI,SI,-26.602273964006,-60.9492636999567
CHACO,Almirante Brown,Los Frentones,5520.0,0.0,0.0,338.0,1.0,0.0,0.0,0.0,0.0,339.0,SI,--,SI,-26.4082976307567,-61.4134271371597
CHACO,Almirante Brown,Pampa del Infierno,9063.0,0.0,0.0,1373.0,6.0,0.0,65.0,0.0,0.0,1444.0,SI,SI,SI,-26.5063974406178,-61.1764901971888
